BST Model Scaled Impulse,,,,,,,,,,,,,,,,,
scaled_distance_Mf5.2,scaled_impulse_Mf5.2,scaled_distance_Mf4.0,scaled_impulse_Mf4.0,scaled_distance_Mf3.0,scaled_impulse_Mf3.0,scaled_distance_Mf2.0,scaled_impulse_Mf2.0,scaled_distance_Mf1.4,scaled_impulse_Mf1.4,scaled_distance_Mf1.0,scaled_impulse_Mf1.0,scaled_distance_Mf0.7,scaled_impulse_Mf0.7,scaled_distance_Mf0.35,scaled_impulse_Mf0.35,scaled_distance_Mf0.2,scaled_impulse_Mf0.2
0.010712148,0.516831374,0.010711062,0.493315031,0.010709975,0.470868705,0.010709975,0.470868705,0.010598399,0.384839657,0.010383637,0.319463247,0.01048373,0.26107286,0.010265041,0.163891218,0.010780351,0.095171085
0.010712148,0.516831374,0.011606214,0.493137107,0.011148527,0.470783783,0.011148527,0.470783783,0.011032009,0.378843621,0.010918185,0.324387785,0.011023058,0.261014005,0.011122918,0.163832107,0.011681294,0.09513676
0.011491517,0.516668265,0.011606214,0.493137107,0.011959644,0.470635207,0.011959644,0.470635207,0.011834649,0.378724061,0.010918185,0.324387785,0.012064724,0.2609081,0.012052898,0.166335083,0.012657531,0.095102447
0.012082282,0.508595325,0.012450631,0.492981476,0.0125749,0.47052911,0.0125749,0.47052911,0.012443475,0.378638683,0.011830647,0.324270788,0.013337977,0.260790478,0.013191436,0.163706568,0.013715355,0.095068146
0.013224491,0.516342202,0.013090702,0.485278642,0.013901994,0.470316987,0.013901994,0.470316987,0.012823702,0.378587466,0.013079197,0.324124601,0.015196689,0.264715064,0.014879185,0.163618009,0.01501144,0.095029573
0.014044549,0.508251439,0.014327758,0.485081743,0.013901994,0.470316987,0.013901994,0.470316987,0.013619368,0.378485053,0.013752047,0.324051532,0.016139045,0.260567142,0.017122456,0.160996129,0.015942308,0.093540518
0.014767061,0.508136861,0.015216746,0.484950521,0.015369143,0.47010496,0.015369143,0.47010496,0.014177054,0.378416792,0.015203372,0.323905444,0.017842281,0.260449674,0.018553425,0.160938062,0.017274649,0.093506781
0.015841448,0.507976497,0.015839841,0.484863059,0.016820941,0.462676112,0.016820941,0.462676112,0.014906383,0.378331484,0.015825384,0.3188588,0.019924168,0.26032052,0.02051077,0.158387692,0.018907084,0.093468841
0.017339032,0.515713947,0.016822647,0.484731897,0.018973059,0.462425824,0.018973059,0.462425824,0.01647953,0.378160926,0.016807862,0.323759422,0.022026123,0.256195245,0.022676528,0.162045829,0.021326109,0.093418278
0.018414859,0.515574439,0.017866434,0.48460077,0.021400524,0.462175672,0.021400524,0.462175672,0.018218084,0.372168244,0.017672531,0.323686435,0.025094722,0.256045109,0.025706024,0.160702382,0.023576763,0.093376163
0.019361544,0.50751859,0.018228561,0.484557068,0.021400524,0.462175672,0.021400524,0.462175672,0.019939672,0.372017239,0.01876905,0.323598873,0.029170322,0.255871984,0.027714964,0.160648044,0.026327765,0.093329859
0.021191187,0.507312667,0.018974984,0.484469678,0.023421265,0.447865716,0.023421265,0.447865716,0.021390394,0.371899833,0.020134603,0.323496748,0.032571793,0.247927275,0.031260894,0.16056114,0.028385295,0.093298302
0.022962191,0.507129695,0.02035552,0.484316782,0.026685132,0.454605562,0.026685132,0.454605562,0.022717594,0.371799228,0.022036554,0.318384681,0.036739119,0.247793157,0.035259307,0.158002493,0.030298112,0.09327096
0.024881203,0.506946788,0.021836498,0.484163935,0.026685132,0.454605562,0.026685132,0.454605562,0.024369602,0.365956862,0.023169426,0.313409921,0.040615701,0.245766522,0.037445758,0.155526691,0.032830207,0.09323732
0.026960592,0.506763947,0.021836498,0.484163935,0.029206846,0.454421108,0.029206846,0.454421108,0.02588165,0.365857865,0.024607008,0.313325139,0.044902844,0.247569788,0.040984338,0.155463587,0.036659686,0.091755659
0.028632434,0.498823269,0.023425226,0.484011136,0.029206846,0.454421108,0.029206846,0.454421108,0.028326478,0.360076385,0.026397306,0.313226256,0.049638315,0.239893676,0.046694126,0.155372482,0.041350028,0.091706023
0.031024274,0.490962738,0.025129542,0.483858385,0.032288103,0.447219938,0.032288103,0.447219938,0.030084037,0.359978979,0.028035166,0.313141523,0.054876903,0.239785528,0.051106667,0.15530944,0.044804246,0.090260906
0.033281464,0.490807793,0.027229685,0.483683872,0.032288103,0.447219938,0.032288103,0.447219938,0.032598241,0.359849145,0.030684457,0.313014468,0.060060675,0.23599631,0.055375915,0.152862051,0.048065631,0.091644016
0.036061665,0.48307357,0.027229685,0.483683872,0.034636072,0.440192428,0.034636072,0.440192428,0.034969945,0.359735579,0.033921599,0.308054156,0.067066452,0.232246026,0.058811797,0.152820699,0.051562675,0.091615094
0.038682737,0.468158789,0.029801851,0.476040443,0.03790914,0.440013822,0.03790914,0.440013822,0.03827327,0.354050847,0.03712715,0.307929165,0.071227691,0.2321832,0.06501631,0.150398964,0.054760107,0.090179542
