TNT Model Scaled Impulse,
scaled_distance,scaled_impulse
0.069737776,0.025521463
0.077561554,0.021062907
0.093014084,0.014859003
0.085507272,0.017801321
0.113997957,0.010392131
0.103330489,0.012505194
0.122378935,0.008933333
0.14525994,0.006264464
0.131944781,0.007539091
0.159348174,0.005241897
0.172565147,0.004407479
0.187319941,0.003712321
0.208003953,0.003206519
0.233124145,0.002721995
0.296259392,0.002088751
0.262440543,0.002371457
0.343761215,0.001845198
0.414540997,0.001668986
0.507090201,0.00159153
0.631077589,0.001675306
0.77389231,0.001964057
0.948940375,0.00222817
1.165015989,0.002109978
1.372960834,0.00182958
1.565765532,0.001639661
1.753800712,0.001458468
2.034005737,0.001291143
2.347147557,0.001151692
2.598268718,0.00102184
3.417325513,0.000820054
2.930994611,0.000918508
4.432550384,0.000631764
3.888099598,0.000719293
5.06293908,0.000565512
5.936660308,0.000495374
6.843300812,0.000425137
7.884095545,0.000374868
9.111675142,0.000333501
10.38668219,0.000287193
12.0390868,0.000251579
13.77504182,0.000224943
15.67218537,0.000196065
17.55324316,0.000173534
22.77710054,0.000133034
19.85627487,0.000152602
26.18121961,0.000114859
34.75081687,8.58412E-05
30.31294325,9.87824E-05
38.51676377,7.58518E-05
